2026-06-29 14:29:01,955 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=0 | min=363ms | max=394ms | avg=374.20ms | windowEvents=5 | totalEvents=5
2026-06-29 14:29:02,050 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=224ms | max=273ms | avg=257.55ms | windowEvents=11 | totalEvents=11
2026-06-29 14:29:02,050 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=0 | min=236ms | max=660ms | avg=315.47ms | windowEvents=15 | totalEvents=15
2026-06-29 14:29:02,069 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=1 | min=110ms | max=289ms | avg=232.62ms | windowEvents=13 | totalEvents=13
2026-06-29 14:29:02,069 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=0 | min=104ms | max=519ms | avg=283.94ms | windowEvents=17 | totalEvents=17
2026-06-29 14:29:02,071 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=1 | min=447ms | max=683ms | avg=496.22ms | windowEvents=9 | totalEvents=9
2026-06-29 14:29:02,071 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=0 | min=456ms | max=876ms | avg=569.62ms | windowEvents=13 | totalEvents=13
2026-06-29 14:29:02,074 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=1 | min=302ms | max=302ms | avg=302.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:02,154 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=0 | min=552ms | max=593ms | avg=570.60ms | windowEvents=5 | totalEvents=5
2026-06-29 14:29:02,156 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=1 | min=384ms | max=384ms | avg=384.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:02,260 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=0 | min=114ms | max=114ms | avg=114.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:02,355 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=1 | min=583ms | max=583ms | avg=583.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:02,369 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=0 | min=232ms | max=307ms | avg=283.71ms | windowEvents=14 | totalEvents=14
2026-06-29 14:29:02,551 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=0 | min=405ms | max=405ms | avg=405.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:02,757 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=0 | min=611ms | max=611ms | avg=611.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,673 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM15 | subtask=1 | min=4495ms | max=4495ms | avg=4495.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,673 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM15 | subtask=0 | min=4724ms | max=4724ms | avg=4724.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,677 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-WM15 | subtask=0 | min=4729ms | max=4729ms | avg=4729.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,678 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-WM15 | subtask=1 | min=4500ms | max=4500ms | avg=4500.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,685 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-ADAPTIVE | subtask=1 | min=4507ms | max=4507ms | avg=4507.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,685 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-ADAPTIVE | subtask=0 | min=4737ms | max=4737ms | avg=4737.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,686 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-ADAPTIVE | subtask=0 | min=4738ms | max=4738ms | avg=4738.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,686 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-ADAPTIVE | subtask=1 | min=4508ms | max=4508ms | avg=4508.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,756 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=1 | min=381ms | max=381ms | avg=381.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,760 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=1 | min=385ms | max=385ms | avg=385.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=1 | min=4716ms | max=4716ms | avg=4716.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=0 | min=4946ms | max=4946ms | avg=4946.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-WM100 | subtask=0 | min=4946ms | max=4946ms | avg=4946.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-WM100 | subtask=1 | min=4716ms | max=4716ms | avg=4716.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,958 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=1 | min=583ms | max=583ms | avg=583.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:07,053 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=96ms | max=381ms | avg=211.80ms | windowEvents=44 | totalEvents=55
