query,window,event_time,event_timestamp_ms,window_start,window_end,carrier,origin_airport_id,dest_airport_id,crs_dep_time,dep_delay,cancelled,diverted,produced_at,watermark_strategy
q1,1h,2025-03-16T18:54,1742151240000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,14908,11298,1854,-4.000,0.000,0.000,1782828765070,ADAPTIVE
q1,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,12892,10423,1855,-6.000,0.000,0.000,1782828765073,ADAPTIVE
q1,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,WN,11292,14831,1855,48.000,0.000,0.000,1782828765073,ADAPTIVE
q1,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,WN,12889,11259,1855,27.000,0.000,0.000,1782828765073,ADAPTIVE
q1,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,WN,12889,13342,1855,229.000,0.000,0.000,1782828765073,ADAPTIVE
q1,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,WN,14107,14869,1855,8.000,0.000,0.000,1782828765073,ADAPTIVE
q1,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,WN,14683,11540,1855,10.000,0.000,0.000,1782828765073,ADAPTIVE
q1,1h,2025-03-16T18:56,1742151360000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,14122,11057,1856,70.000,0.000,0.000,1782828765076,ADAPTIVE
q1,1h,2025-03-16T18:57,1742151420000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,14100,12892,1857,15.000,0.000,0.000,1782828765079,ADAPTIVE
q1,1h,2025-03-16T18:58,1742151480000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,13930,13303,1858,0.000,1.000,0.000,1782828765082,ADAPTIVE
q1,1h,2025-03-16T18:59,1742151540000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,11298,10397,1859,-3.000,0.000,0.000,1782828765085,ADAPTIVE
q1,1h,2025-03-16T18:59,1742151540000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,14107,11298,1859,-5.000,0.000,0.000,1782828765085,ADAPTIVE
q1,1h,2025-03-22T21:59,1742680740000,2025-03-22T21:00:00Z,2025-03-22T22:00:00Z,AA,11278,11057,2159,-7.000,0.000,0.000,1782828792630,ADAPTIVE
q1,1h,2025-03-22T21:59,1742680740000,2025-03-22T21:00:00Z,2025-03-22T22:00:00Z,DL,12892,12478,2159,-3.000,0.000,0.000,1782828792630,ADAPTIVE
q1,1h,2025-03-22T21:59,1742680740000,2025-03-22T21:00:00Z,2025-03-22T22:00:00Z,DL,13487,13485,2159,-4.000,0.000,0.000,1782828792630,ADAPTIVE
q1,1h,2025-03-22T21:59,1742680740000,2025-03-22T21:00:00Z,2025-03-22T22:00:00Z,UA,11618,10785,2159,1.000,0.000,0.000,1782828792630,ADAPTIVE
q1,1h,2025-04-17T13:49,1744897740000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,14986,11057,1349,-5.000,0.000,0.000,1782828908102,ADAPTIVE
q1,1h,2025-04-17T13:50,1744897800000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,10821,11057,1350,13.000,0.000,0.000,1782828908106,ADAPTIVE
q1,1h,2025-04-17T13:50,1744897800000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,13871,11057,1350,-3.000,0.000,0.000,1782828908106,ADAPTIVE
q1,1h,2025-04-17T13:50,1744897800000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,10397,15016,1350,12.000,0.000,0.000,1782828908106,ADAPTIVE
q1,1h,2025-04-17T13:50,1744897800000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,11259,13158,1350,-3.000,0.000,0.000,1782828908106,ADAPTIVE
q1,1h,2025-04-17T13:50,1744897800000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,11996,12191,1350,1.000,0.000,0.000,1782828908106,ADAPTIVE
q1,1h,2025-04-17T13:50,1744897800000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,12889,10423,1350,20.000,0.000,0.000,1782828908106,ADAPTIVE
q1,1h,2025-04-17T13:51,1744897860000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,10849,11298,1351,-4.000,0.000,0.000,1782828908109,ADAPTIVE
q1,1h,2025-04-17T13:52,1744897920000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,13303,11278,1352,69.000,0.000,0.000,1782828908112,ADAPTIVE
q1,1h,2025-04-17T13:53,1744897980000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,13487,11057,1353,51.000,0.000,0.000,1782828908115,ADAPTIVE
q1,1h,2025-04-17T13:54,1744898040000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,11298,13342,1354,-6.000,0.000,0.000,1782828908118,ADAPTIVE
q1,1h,2025-04-17T13:55,1744898100000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,AA,14100,15304,1355,102.000,0.000,0.000,1782828908121,ADAPTIVE
q1,1h,2025-04-17T13:55,1744898100000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,14107,14893,1355,13.000,0.000,0.000,1782828908121,ADAPTIVE
q1,1h,2025-04-17T13:55,1744898100000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,14679,10423,1355,-1.000,0.000,0.000,1782828908121,ADAPTIVE
q1,1h,2025-04-17T13:55,1744898100000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,14679,14107,1355,14.000,0.000,0.000,1782828908121,ADAPTIVE
q1,1h,2025-04-17T13:55,1744898100000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,14679,14869,1355,21.000,0.000,0.000,1782828908121,ADAPTIVE
q1,1h,2025-04-17T13:55,1744898100000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,WN,15016,14107,1355,-2.000,0.000,0.000,1782828908121,ADAPTIVE
q1,1h,2025-04-17T13:58,1744898280000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,DL,11298,10397,1358,0.000,0.000,0.000,1782828908130,ADAPTIVE
q1,1h,2025-04-17T13:58,1744898280000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,UA,11603,14771,1358,24.000,0.000,0.000,1782828908130,ADAPTIVE
q1,1h,2025-04-17T13:59,1744898340000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,DL,10397,12892,1359,-2.000,0.000,0.000,1782828908134,ADAPTIVE
q1,1h,2025-04-17T13:59,1744898340000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,DL,10693,14869,1359,-10.000,0.000,0.000,1782828908134,ADAPTIVE
q1,1h,2025-04-17T13:59,1744898340000,2025-04-17T13:00:00Z,2025-04-17T14:00:00Z,DL,15624,13487,1359,-2.000,0.000,0.000,1782828908134,ADAPTIVE
