query,window,event_time,event_timestamp_ms,window_start,window_end,carrier,origin_airport_id,dest_airport_id,crs_dep_time,dep_delay,cancelled,diverted,produced_at,watermark_strategy
q1,1h,2025-03-30T21:59,1743371940000,2025-03-30T21:00:00Z,2025-03-30T22:00:00Z,DL,10397,10529,2159,72.000,0.000,0.000,1782828828638,WM15
q1,1h,2025-03-30T21:59,1743371940000,2025-03-30T21:00:00Z,2025-03-30T22:00:00Z,DL,10397,14771,2159,86.000,0.000,0.000,1782828828638,WM15
q1,1h,2025-03-30T21:59,1743371940000,2025-03-30T21:00:00Z,2025-03-30T22:00:00Z,DL,13487,13485,2159,45.000,0.000,0.000,1782828828638,WM15
q1,1h,2025-03-30T21:59,1743371940000,2025-03-30T21:00:00Z,2025-03-30T22:00:00Z,UA,12266,10423,2159,39.000,0.000,0.000,1782828828638,WM15
q1,1h,2025-04-02T22:59,1743634740000,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,AA,12892,12478,2259,-8.000,0.000,0.000,1782828842317,WM15
q1,1h,2025-04-02T22:59,1743634740000,2025-04-02T22:00:00Z,2025-04-02T23:00:00Z,DL,10397,14683,2259,0.000,0.000,0.000,1782828842317,WM15
q1,1h,2025-04-04T18:57,1743793020000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,AA,12339,11057,1857,-1.000,0.000,0.000,1782828850566,WM15
q1,1h,2025-04-04T18:59,1743793140000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,AA,13303,14492,1859,5.000,0.000,0.000,1782828850573,WM15
q1,1h,2025-04-06T14:54,1743951240000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,AA,11278,12451,1454,-10.000,0.000,0.000,1782828858816,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,AA,11298,11278,1455,21.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,AA,13930,14100,1455,4.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,WN,10693,11292,1455,11.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,WN,10693,13930,1455,34.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,WN,10821,11986,1455,215.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,WN,13204,13871,1455,27.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:55,1743951300000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,WN,14869,11292,1455,0.000,0.000,0.000,1782828858819,WM15
q1,1h,2025-04-06T14:58,1743951480000,2025-04-06T14:00:00Z,2025-04-06T15:00:00Z,AA,11057,11618,1458,-5.000,0.000,0.000,1782828858829,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,AA,12953,13303,655,-2.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,AA,13303,12953,655,-2.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,DL,14869,14747,655,5.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,UA,14122,14771,655,-7.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,WN,11278,13204,655,-1.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,WN,12889,14679,655,-5.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:55,1744008900000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,WN,13198,15304,655,-1.000,0.000,0.000,1782828861833,WM15
q1,1h,2025-04-07T06:58,1744009080000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,AA,14747,11298,658,-2.000,0.000,0.000,1782828861843,WM15
q1,1h,2025-04-07T06:59,1744009140000,2025-04-07T06:00:00Z,2025-04-07T07:00:00Z,AA,10721,14100,659,-6.000,0.000,0.000,1782828861846,WM15
q1,1h,2025-04-07T07:59,1744012740000,2025-04-07T07:00:00Z,2025-04-07T08:00:00Z,AA,11278,14027,759,0.000,0.000,0.000,1782828862032,WM15
q1,1h,2025-04-07T07:59,1744012740000,2025-04-07T07:00:00Z,2025-04-07T08:00:00Z,AA,12953,11057,759,-9.000,0.000,0.000,1782828862032,WM15
q1,1h,2025-04-07T19:54,1744055640000,2025-04-07T19:00:00Z,2025-04-07T20:00:00Z,AA,15412,11057,1954,148.000,0.000,0.000,1782828864246,WM15
q1,1h,2025-04-07T19:54,1744055640000,2025-04-07T19:00:00Z,2025-04-07T20:00:00Z,DL,14122,10397,1954,154.000,0.000,0.000,1782828864246,WM15
q1,1h,2025-04-07T19:55,1744055700000,2025-04-07T19:00:00Z,2025-04-07T20:00:00Z,AA,11298,11884,1955,25.000,0.000,0.000,1782828864249,WM15
q1,1h,2025-04-07T19:55,1744055700000,2025-04-07T19:00:00Z,2025-04-07T20:00:00Z,AA,11298,12889,1955,23.000,0.000,0.000,1782828864249,WM15
q1,1h,2025-04-07T19:55,1744055700000,2025-04-07T19:00:00Z,2025-04-07T20:00:00Z,DL,12173,14869,1955,56.000,0.000,0.000,1782828864249,WM15
q1,1h,2025-04-07T19:55,1744055700000,2025-04-07T19:00:00Z,2025-04-07T20:00:00Z,DL,12889,12892,1955,-8.000,0.000,0.000,1782828864249,WM15
