window_start,window_end,airline,num_flights,completed,cancelled,diverted,dep_delay_mean,cancellation_rate,late_departure_rate
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,AA,84,84,0,0,7.19,0.0000,16.6667
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,DL,70,70,0,0,-0.51,0.0000,4.2857
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,UA,78,77,0,1,2.88,0.0000,15.3846
2025-04-27T10:00:00Z,2025-04-27T11:00:00Z,WN,146,146,0,0,3.90,0.0000,9.5890
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,AA,166,166,0,0,7.58,0.0000,15.6627
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,DL,214,214,0,0,-0.29,0.0000,7.4766
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,UA,125,125,0,0,4.80,0.0000,11.2000
2025-04-27T11:00:00Z,2025-04-27T12:00:00Z,WN,214,213,1,0,5.35,0.4673,13.6150
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,AA,150,150,0,0,11.41,0.0000,20.0000
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,DL,186,186,0,0,0.70,0.0000,8.0645
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,UA,118,118,0,0,5.36,0.0000,14.4068
2025-04-27T12:00:00Z,2025-04-27T13:00:00Z,WN,242,242,0,0,5.28,0.0000,12.8099
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,AA,148,148,0,0,11.06,0.0000,22.2973
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,DL,156,156,0,0,3.01,0.0000,9.6154
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,UA,127,127,0,0,2.14,0.0000,7.8740
2025-04-27T13:00:00Z,2025-04-27T14:00:00Z,WN,257,257,0,0,9.47,0.0000,20.2335
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,AA,151,150,0,1,21.46,0.0000,20.5298
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,DL,154,153,0,1,1.86,0.0000,7.7922
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,UA,126,125,0,1,18.17,0.0000,16.6667
2025-04-27T14:00:00Z,2025-04-27T15:00:00Z,WN,218,217,1,0,10.66,0.4587,28.1106
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,AA,144,144,0,0,19.96,0.0000,31.2500
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,DL,196,195,0,1,5.77,0.0000,14.2857
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,UA,100,99,0,1,18.79,0.0000,22.0000
2025-04-27T15:00:00Z,2025-04-27T16:00:00Z,WN,251,251,0,0,13.81,0.0000,30.2789
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,AA,150,150,0,0,11.45,0.0000,24.0000
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,DL,144,144,0,0,5.57,0.0000,13.8889
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,UA,140,139,0,1,8.37,0.0000,12.1429
2025-04-27T16:00:00Z,2025-04-27T17:00:00Z,WN,234,233,0,1,15.26,0.0000,33.3333
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,AA,162,162,0,0,20.64,0.0000,26.5432
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,DL,181,181,0,0,7.77,0.0000,20.4420
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,UA,133,133,0,0,12.30,0.0000,18.0451
2025-04-27T17:00:00Z,2025-04-27T18:00:00Z,WN,231,231,0,0,16.15,0.0000,37.2294
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,AA,172,172,0,0,14.60,0.0000,26.1628
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,DL,178,178,0,0,7.63,0.0000,20.7865
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,UA,142,141,1,0,19.89,0.7042,22.6950
2025-04-27T18:00:00Z,2025-04-27T19:00:00Z,WN,245,245,0,0,17.49,0.0000,38.3673
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,AA,161,160,1,0,16.21,0.6211,29.3750
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,DL,180,180,0,0,8.32,0.0000,22.7778
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,UA,138,136,0,2,23.00,0.0000,29.7101
2025-04-27T19:00:00Z,2025-04-27T20:00:00Z,WN,245,244,0,1,19.09,0.0000,42.0408
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,AA,136,136,0,0,13.54,0.0000,27.9412
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,DL,124,124,0,0,6.16,0.0000,19.3548
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,UA,87,86,0,1,31.64,0.0000,29.8851
2025-04-27T20:00:00Z,2025-04-27T21:00:00Z,WN,277,277,0,0,16.04,0.0000,39.7112
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,AA,88,88,0,0,13.93,0.0000,35.2273
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,DL,102,102,0,0,9.80,0.0000,22.5490
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,UA,63,62,1,0,13.16,1.5873,24.1935
2025-04-27T21:00:00Z,2025-04-27T22:00:00Z,WN,181,181,0,0,15.08,0.0000,33.7017
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,AA,115,114,0,1,10.21,0.0000,17.3913
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,DL,118,118,0,0,4.82,0.0000,16.1017
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,UA,38,38,0,0,14.13,0.0000,21.0526
2025-04-27T22:00:00Z,2025-04-27T23:00:00Z,WN,142,142,0,0,12.00,0.0000,30.9859
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,AA,33,33,0,0,5.64,0.0000,12.1212
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,DL,35,35,0,0,7.20,0.0000,25.7143
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,UA,35,35,0,0,0.23,0.0000,5.7143
2025-04-27T23:00:00Z,2025-04-28T00:00:00Z,WN,7,7,0,0,3.86,0.0000,14.2857
2025-04-28T00:00:00Z,2025-04-28T01:00:00Z,AA,9,9,0,0,-4.89,0.0000,0.0000
2025-04-28T00:00:00Z,2025-04-28T01:00:00Z,DL,8,8,0,0,-1.00,0.0000,12.5000
2025-04-28T00:00:00Z,2025-04-28T01:00:00Z,UA,8,8,0,0,14.00,0.0000,50.0000
