scope,airline,metric,wm15_mean,wm100_mean,adaptive_mean,abs_diff_wm100_minus_wm15,pct_diff_wm100_vs_wm15,abs_diff_adaptive_minus_wm15,pct_diff_adaptive_vs_wm15,wm15_non_null_values,wm100_non_null_values,adaptive_non_null_values
ALL,ALL,num_flights,135.479766,135.508455,135.479766,0.028689,0.021176,0.0,0.0,9761,9757,9761
ALL,ALL,completed,133.512038,133.540945,133.512038,0.028907,0.021651,0.0,0.0,9761,9757,9761
ALL,ALL,cancelled,1.674624,1.674388,1.674624,-0.000236,-0.014086,0.0,0.0,9761,9757,9761
ALL,ALL,diverted,0.293105,0.293123,0.293105,1.8e-05,0.006029,0.0,0.0,9761,9757,9761
ALL,ALL,dep_delay_mean,10.579079,10.578791,10.579079,-0.000288,-0.002726,0.0,0.0,9761,9757,9761
ALL,ALL,cancellation_rate,1.214148,1.213623,1.214148,-0.000525,-0.04321,0.0,0.0,9761,9757,9761
ALL,ALL,late_departure_rate,17.90051,17.901708,17.90051,0.001198,0.006693,0.0,0.0,9761,9757,9761
airline,AA,num_flights,126.730769,126.737618,126.730769,0.006848,0.005404,0.0,0.0,2444,2443,2444
airline,AA,completed,123.879296,123.888252,123.879296,0.008956,0.00723,0.0,0.0,2444,2443,2444
airline,AA,cancelled,2.51964,2.517397,2.51964,-0.002243,-0.089032,0.0,0.0,2444,2443,2444
airline,AA,diverted,0.331833,0.331969,0.331833,0.000136,0.040933,0.0,0.0,2444,2443,2444
airline,AA,dep_delay_mean,14.163912,14.158878,14.163912,-0.005033,-0.035535,0.0,0.0,2444,2443,2444
airline,AA,cancellation_rate,1.960583,1.958408,1.960583,-0.002174,-0.110907,0.0,0.0,2444,2443,2444
airline,AA,late_departure_rate,19.764147,19.760599,19.764147,-0.003548,-0.017951,0.0,0.0,2444,2443,2444
airline,DL,num_flights,125.31141,125.318272,125.31141,0.006861,0.005476,0.0,0.0,2524,2523,2524
airline,DL,completed,123.801902,123.808561,123.801902,0.006659,0.005379,0.0,0.0,2524,2523,2524
airline,DL,cancelled,1.24683,1.247325,1.24683,0.000494,0.039635,0.0,0.0,2524,2523,2524
airline,DL,diverted,0.262678,0.262386,0.262678,-0.000292,-0.111254,0.0,0.0,2524,2523,2524
airline,DL,dep_delay_mean,10.261957,10.261811,10.261957,-0.000146,-0.001422,0.0,0.0,2524,2523,2524
airline,DL,cancellation_rate,0.984233,0.984623,0.984233,0.00039,0.039635,0.0,0.0,2524,2523,2524
airline,DL,late_departure_rate,17.59961,17.601815,17.59961,0.002205,0.012527,0.0,0.0,2524,2523,2524
airline,UA,num_flights,96.964824,96.988012,96.964824,0.023188,0.023914,0.0,0.0,2587,2586,2587
airline,UA,completed,96.017008,96.040217,96.017008,0.023208,0.024171,0.0,0.0,2587,2586,2587
airline,UA,cancelled,0.719366,0.719258,0.719366,-0.000109,-0.015086,0.0,0.0,2587,2586,2587
airline,UA,diverted,0.22845,0.228538,0.22845,8.8e-05,0.03867,0.0,0.0,2587,2586,2587
airline,UA,dep_delay_mean,8.853951,8.85454,8.853951,0.000589,0.006656,0.0,0.0,2587,2586,2587
airline,UA,cancellation_rate,0.782054,0.781312,0.782054,-0.000743,-0.094969,0.0,0.0,2587,2586,2587
airline,UA,late_departure_rate,16.089092,16.087795,16.089092,-0.001297,-0.008064,0.0,0.0,2587,2586,2587
airline,WN,num_flights,201.973708,202.062132,201.973708,0.088423,0.04378,0.0,0.0,2206,2205,2206
airline,WN,completed,199.264733,199.351927,199.264733,0.087195,0.043758,0.0,0.0,2206,2205,2206
airline,WN,cancelled,2.348141,2.349206,2.348141,0.001065,0.045351,0.0,0.0,2206,2205,2206
airline,WN,diverted,0.360834,0.360998,0.360834,0.000164,0.045351,0.0,0.0,2206,2205,2206
airline,WN,dep_delay_mean,8.9934,8.997156,8.9934,0.003757,0.041771,0.0,0.0,2206,2205,2206
airline,WN,cancellation_rate,1.156959,1.157484,1.156959,0.000525,0.045351,0.0,0.0,2206,2205,2206
airline,WN,late_departure_rate,18.304355,18.312657,18.304355,0.008301,0.045351,0.0,0.0,2206,2205,2206
