ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-04-27 10:00:00,1,14771,32,6,14.91,72.00,"[(OO,14679,72.00), (OO,13891,58.00), (WN,11292,45.00), (OO,10157,41.00), (OO,10713,37.00), (UA,11603,36.00)]"
2025-04-27 10:00:00,2,11298,32,4,5.44,66.00,"[(AA,10721,66.00), (AA,11433,61.00), (AA,14057,59.00), (AA,14524,45.00)]"
2025-04-27 10:00:00,3,13930,49,3,-0.37,51.00,"[(DL,10721,51.00), (MQ,14492,46.00), (AA,12953,43.00)]"
2025-04-27 10:00:00,4,11292,32,2,7.00,126.00,"[(OO,12217,126.00), (WN,14122,44.00)]"
2025-04-27 11:00:00,1,11057,62,10,8.31,101.00,"[(AA,12451,101.00), (AA,14635,87.00), (F9,13930,72.00), (MQ,12124,66.00), (AA,15304,65.00), (OH,15370,50.00), (OH,12197,44.00), (AA,10529,41.00), (OH,13296,37.00), (AA,11298,32.00)]"
2025-04-27 11:00:00,2,11292,81,7,3.31,102.00,"[(UA,14908,102.00), (UA,14771,80.00), (OO,14794,65.00), (WN,15304,53.00), (F9,13244,45.00), (UA,10140,32.00), (UA,10800,31.00)]"
2025-04-27 11:00:00,3,10397,60,6,6.77,150.00,"[(OO,13277,150.00), (DL,14107,78.00), (DL,11066,52.00), (DL,15304,49.00), (DL,15016,38.00), (WN,12191,31.00)]"
2025-04-27 11:00:00,4,14107,31,4,8.13,117.00,"[(F9,10397,117.00), (F9,14747,82.00), (AA,11603,41.00), (AA,14262,33.00)]"
2025-04-27 11:00:00,5,11298,38,3,15.29,385.00,"[(AA,15412,385.00), (AA,12889,92.00), (DL,10721,50.00)]"
2025-04-27 11:00:00,6,13930,42,3,-1.29,43.00,"[(MQ,12278,43.00), (UA,11618,38.00), (AA,11278,33.00)]"
2025-04-27 11:00:00,7,14747,41,2,5.73,122.00,"[(AS,13486,122.00), (AS,12758,97.00)]"
2025-04-27 11:00:00,8,14869,47,1,-0.87,130.00,"[(AA,14107,130.00)]"
2025-04-27 12:00:00,1,11298,62,8,6.42,132.00,"[(AA,12889,132.00), (AA,13577,118.00), (AA,10423,61.00), (DL,14869,57.00), (AA,12892,48.00), (AA,13891,46.00), (OO,14696,36.00), (AA,11996,33.00)]"
2025-04-27 12:00:00,2,12889,45,6,16.27,199.00,"[(UA,13930,199.00), (AA,11298,87.00), (G4,11980,85.00), (WN,12339,59.00), (WN,11292,50.00), (UA,12266,48.00)]"
2025-04-27 12:00:00,3,14107,32,6,14.16,160.00,"[(AA,14683,160.00), (AA,13198,116.00), (AA,13303,54.00), (MQ,11540,41.00), (WN,14679,41.00), (WN,12892,39.00)]"
2025-04-27 12:00:00,4,10397,49,5,4.67,76.00,"[(DL,12953,76.00), (OO,10980,73.00), (F9,14100,51.00), (DL,13244,46.00), (AA,13303,38.00)]"
2025-04-27 12:00:00,5,12266,42,4,6.60,95.00,"[(UA,14635,95.00), (UA,15304,57.00), (UA,11292,53.00), (UA,14100,35.00)]"
2025-04-27 12:00:00,6,13930,42,2,4.33,120.00,"[(AA,12953,120.00), (UA,13198,88.00)]"
2025-04-27 12:00:00,7,11433,36,1,-0.72,64.00,"[(DL,12892,64.00)]"
2025-04-27 13:00:00,1,11298,31,7,15.42,101.00,"[(AA,14679,101.00), (AA,13342,72.00), (MQ,11867,67.00), (AA,13204,60.00), (AA,11995,54.00), (AA,11481,40.00), (AA,13930,38.00)]"
2025-04-27 13:00:00,2,14107,38,5,9.53,116.00,"[(AA,10423,116.00), (DL,10397,83.00), (F9,11292,34.00), (WN,12889,34.00), (WN,11292,31.00)]"
2025-04-27 13:00:00,3,14771,36,4,16.75,304.00,"[(UA,11618,304.00), (B6,12478,65.00), (OO,12892,62.00), (UA,10800,60.00)]"
2025-04-27 13:00:00,4,12892,35,4,8.17,136.00,"[(DL,12173,136.00), (AA,13303,109.00), (B6,12478,49.00), (DL,12478,32.00)]"
2025-04-27 13:00:00,5,11292,72,4,3.01,82.00,"[(OO,11315,82.00), (F9,14771,82.00), (WN,14683,40.00), (WN,14492,37.00)]"
2025-04-27 13:00:00,6,10397,41,3,-0.17,71.00,"[(F9,12264,71.00), (WN,13232,34.00), (DL,14524,33.00)]"
2025-04-27 13:00:00,7,13930,66,2,3.39,281.00,"[(OO,11003,281.00), (AA,11278,58.00)]"
2025-04-27 13:00:00,8,11057,37,1,3.68,102.00,"[(OH,10599,102.00)]"
2025-04-27 14:00:00,1,13930,62,8,10.16,225.00,"[(UA,11292,225.00), (YX,13931,143.00), (AA,12953,68.00), (AA,11292,63.00), (UA,11042,63.00), (UA,12339,61.00), (F9,10693,48.00), (OO,10693,47.00)]"
2025-04-27 14:00:00,2,14107,30,7,16.33,78.00,"[(WN,14679,78.00), (UA,13930,65.00), (F9,12892,57.00), (AA,14689,56.00), (AA,12889,54.00), (NK,12889,37.00), (WN,11540,34.00)]"
2025-04-27 14:00:00,3,11298,65,7,10.51,202.00,"[(AA,11618,202.00), (MQ,13198,152.00), (AA,10693,97.00), (NK,10821,76.00), (MQ,14683,74.00), (AA,15016,70.00), (AA,10994,44.00)]"
2025-04-27 14:00:00,4,11292,44,6,27.11,375.00,"[(UA,13204,375.00), (UA,11618,234.00), (UA,13303,223.00), (UA,12953,103.00), (OO,14262,65.00), (WN,11057,32.00)]"
2025-04-27 14:00:00,5,11057,46,5,4.93,67.00,"[(AA,11278,67.00), (YX,12264,67.00), (AA,14122,63.00), (MQ,10781,43.00), (AA,14027,37.00)]"
2025-04-27 14:00:00,6,12266,31,4,17.26,240.00,"[(UA,11618,240.00), (OO,14783,127.00), (OO,15569,108.00), (UA,11042,61.00)]"
2025-04-27 14:00:00,7,10397,46,2,2.57,93.00,"[(WN,14122,93.00), (WN,13198,38.00)]"
2025-04-27 14:00:00,8,11278,30,1,4.90,224.00,"[(OH,12278,224.00)]"
2025-04-27 15:00:00,1,10397,66,12,19.09,263.00,"[(UA,11618,263.00), (OO,14814,239.00), (OO,14696,138.00), (DL,11042,135.00), (OO,11146,96.00), (DL,10257,95.00), (DL,12953,82.00), (DL,12451,57.00), (WN,12339,56.00), (DL,13303,47.00), (DL,15096,45.00), (WN,11278,45.00)]"
