ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-04-27 06:00:00,1,14771,52,10,17.13,276.00,"[(UA,11292,276.00), (OO,13964,72.00), (OO,14679,72.00), (OO,13891,58.00), (UA,11298,46.00), (WN,11292,45.00), (OO,10157,41.00), (OO,10713,37.00), (UA,11603,36.00), (UA,10721,33.00)]"
2025-04-27 06:00:00,10,14747,56,4,5.52,122.00,"[(AS,13486,122.00), (AS,12758,97.00), (AS,12478,57.00), (AS,13930,51.00)]"
2025-04-27 06:00:00,2,11057,70,10,7.43,101.00,"[(AA,12451,101.00), (AA,14635,87.00), (F9,13930,72.00), (MQ,12124,66.00), (AA,15304,65.00), (OH,15370,50.00), (OH,12197,44.00), (AA,10529,41.00), (OH,13296,37.00), (AA,11298,32.00)]"
2025-04-27 06:00:00,3,11292,113,9,4.35,126.00,"[(OO,12217,126.00), (UA,14908,102.00), (UA,14771,80.00), (OO,14794,65.00), (WN,15304,53.00), (F9,13244,45.00), (WN,14122,44.00), (UA,10140,32.00), (UA,10800,31.00)]"
2025-04-27 06:00:00,4,11298,70,7,10.79,385.00,"[(AA,15412,385.00), (AA,12889,92.00), (AA,10721,66.00), (AA,11433,61.00), (AA,14057,59.00), (DL,10721,50.00), (AA,14524,45.00)]"
2025-04-27 06:00:00,5,10397,87,7,5.97,188.00,"[(DL,10800,188.00), (OO,13277,150.00), (DL,14107,78.00), (DL,11066,52.00), (DL,15304,49.00), (DL,15016,38.00), (WN,12191,31.00)]"
2025-04-27 06:00:00,6,11618,32,6,7.53,50.00,"[(UA,12266,50.00), (UA,12892,48.00), (UA,13204,46.00), (UA,15304,43.00), (G4,15624,40.00), (AA,14107,34.00)]"
2025-04-27 06:00:00,7,13930,91,6,-0.79,51.00,"[(DL,10721,51.00), (MQ,14492,46.00), (AA,12953,43.00), (MQ,12278,43.00), (UA,11618,38.00), (AA,11278,33.00)]"
2025-04-27 06:00:00,8,14107,58,5,5.02,117.00,"[(F9,10397,117.00), (AA,11884,98.00), (F9,14747,82.00), (AA,11603,41.00), (AA,14262,33.00)]"
2025-04-27 06:00:00,9,14100,40,4,5.98,155.00,"[(AA,14321,155.00), (AA,14107,92.00), (OH,10785,38.00), (AA,14492,37.00)]"
2025-04-27 12:00:00,1,11298,301,43,9.08,202.00,"[(AA,11618,202.00), (MQ,13198,152.00), (NK,15304,137.00), (AA,12889,132.00), (AA,14193,119.00), (AA,13577,118.00), (AA,14679,101.00), (AA,10693,97.00), (MQ,12896,78.00), (AA,11066,77.00), (AA,12892,77.00), (NK,10821,76.00), (AA,11042,75.00), (MQ,14683,74.00), (AA,13342,72.00), (MQ,14683,71.00), (AA,15016,70.00), (MQ,11867,67.00), (AA,11057,66.00), (AA,11003,63.00)]"
2025-04-27 12:00:00,10,14679,95,17,14.99,142.00,"[(UA,11618,142.00), (WN,14893,123.00), (WN,12889,102.00), (AA,11298,93.00), (AA,11298,84.00), (OO,11638,82.00), (WN,14893,76.00), (OO,13476,73.00), (UA,12266,60.00), (WN,12889,52.00), (WN,14831,45.00), (WN,13796,45.00), (DL,12478,42.00), (OO,14893,41.00), (WN,12173,41.00), (WN,11292,34.00), (OO,10423,31.00)]"
2025-04-27 12:00:00,2,11292,306,41,13.69,392.00,"[(UA,11618,392.00), (UA,13204,375.00), (UA,11618,234.00), (UA,13303,223.00), (UA,13930,206.00), (OO,11921,184.00), (OO,13158,177.00), (OO,12902,170.00), (WN,14679,126.00), (OO,13851,109.00), (UA,12953,103.00), (OO,11865,92.00), (UA,11618,92.00), (OO,11315,82.00), (F9,14771,82.00), (OO,10627,80.00), (WN,11109,72.00), (OO,14262,65.00), (WN,13204,64.00), (WN,13487,62.00)]"
2025-04-27 12:00:00,3,14107,206,36,12.79,200.00,"[(AA,11618,200.00), (AA,10423,181.00), (AA,14683,160.00), (AA,14771,132.00), (AA,13198,116.00), (AA,10423,116.00), (AA,12892,101.00), (DL,10397,83.00), (WN,14679,78.00), (UA,13930,65.00), (DL,14869,64.00), (WN,13232,62.00), (WN,14771,59.00), (F9,12892,57.00), (AA,14689,56.00), (AA,12889,54.00), (AA,13303,54.00), (WN,14679,52.00), (AA,11603,50.00), (G4,15412,49.00)]"
2025-04-27 12:00:00,4,12892,165,35,16.35,244.00,"[(DL,14747,244.00), (AS,11278,216.00), (AA,12478,145.00), (DL,12173,136.00), (DL,12173,126.00), (AA,14771,125.00), (DL,11433,118.00), (DL,13830,114.00), (AA,13303,109.00), (F9,14747,107.00), (UA,11618,101.00), (F9,12266,95.00), (WN,12889,85.00), (F9,13204,81.00), (G4,15919,77.00), (AA,15016,77.00), (OO,14893,67.00), (OO,15376,63.00), (AA,10721,58.00), (AA,14107,55.00)]"
2025-04-27 12:00:00,5,12889,202,33,15.84,199.00,"[(UA,13930,199.00), (F9,14869,159.00), (UA,11618,149.00), (UA,11618,136.00), (AA,11298,126.00), (WN,13342,105.00), (WN,13232,94.00), (AA,11298,87.00), (G4,11980,85.00), (WN,13871,83.00), (WN,15016,80.00), (WN,12278,78.00), (WN,14730,75.00), (WN,15304,63.00), (WN,12339,59.00), (WN,12892,58.00), (WN,13851,55.00), (WN,11292,50.00), (WN,13796,50.00), (WN,11259,50.00)]"
2025-04-27 12:00:00,6,10397,308,31,7.86,315.00,"[(DL,11618,315.00), (UA,11618,263.00), (OO,14814,239.00), (OO,14696,138.00), (DL,11042,135.00), (OO,11146,96.00), (DL,10257,95.00), (WN,14122,93.00), (DL,12953,82.00), (DL,12953,76.00), (OO,10980,73.00), (F9,12264,71.00), (DL,14635,67.00), (YX,13930,61.00), (DL,13891,58.00), (DL,12451,57.00), (WN,12339,56.00), (AS,14747,54.00), (DL,12478,52.00), (F9,14100,51.00)]"
2025-04-27 12:00:00,7,13930,300,23,7.34,281.00,"[(OO,11003,281.00), (UA,11618,254.00), (UA,11292,225.00), (OO,11986,192.00), (OO,12945,153.00), (YX,13931,143.00), (AA,12953,120.00), (AA,13198,108.00), (YX,14730,107.00), (UA,13198,88.00), (UA,11193,69.00), (AA,12953,68.00), (OO,13367,66.00), (OO,11637,64.00), (AA,11292,63.00), (UA,11042,63.00), (UA,12339,61.00), (AA,11278,58.00), (AS,14747,56.00), (OO,13029,52.00)]"
2025-04-27 12:00:00,8,11278,157,21,9.55,224.00,"[(OH,12278,224.00), (OH,10994,223.00), (B6,14027,128.00), (OH,14193,106.00), (OH,15016,94.00), (AA,14107,79.00), (OH,10792,76.00), (AA,10721,56.00), (YX,12478,54.00), (OH,15096,53.00), (OH,11267,53.00), (WN,13495,50.00), (DL,11433,49.00), (YX,14321,43.00), (OH,10257,41.00), (YX,14730,41.00), (AA,11298,40.00), (UA,12266,39.00), (OH,13244,36.00), (OH,15096,36.00)]"
2025-04-27 12:00:00,9,10721,153,18,6.73,225.00,"[(UA,11618,225.00), (AA,14107,134.00), (NK,13577,68.00), (B6,14771,64.00), (B6,12953,57.00), (AA,11298,56.00), (G4,14986,54.00), (DL,11298,51.00), (B6,11697,49.00), (YX,14730,48.00), (DL,14747,43.00), (YX,10821,42.00), (NK,14635,42.00), (B6,10792,41.00), (B6,12478,34.00), (YX,14492,34.00), (WN,11259,33.00), (AA,11057,32.00)]"
