global_start,snapshot_ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01T00:10:00Z,2025-02-01T00:00:00Z,DL,0,54,-28.00,-12.75,-9.00,-4.13,2.00,30.00
2025-01-01T00:10:00Z,2025-03-01T00:00:00Z,DL,0,116,-28.00,-11.75,-8.06,-1.93,12.00,108.00
2025-01-01T00:10:00Z,2025-04-01T00:00:00Z,DL,0,277,-28.00,-10.75,-6.73,-0.51,17.71,162.00
2025-01-01T00:17:00Z,2025-02-01T00:00:00Z,AA,0,253,-15.00,-5.81,-2.91,2.79,22.13,559.00
2025-01-01T00:17:00Z,2025-03-01T00:00:00Z,AA,0,493,-18.00,-6.19,-3.21,1.78,20.49,559.00
2025-01-01T00:17:00Z,2025-04-01T00:00:00Z,AA,0,806,-20.00,-6.60,-3.54,0.97,20.51,793.00
2025-01-01T00:28:00Z,2025-02-01T00:00:00Z,UA,0,127,-13.00,-6.89,-2.51,4.93,21.52,125.00
2025-01-01T00:28:00Z,2025-03-01T00:00:00Z,UA,0,210,-14.00,-6.98,-2.59,3.61,27.26,125.00
2025-01-01T00:28:00Z,2025-04-01T00:00:00Z,UA,0,406,-20.00,-6.96,-2.78,4.36,24.95,590.00
2025-01-01T01:09:00Z,2025-02-01T00:00:00Z,UA,1,32,-16.00,-7.00,4.00,12.00,29.00,101.00
2025-01-01T01:09:00Z,2025-03-01T00:00:00Z,UA,1,59,-18.00,-9.63,1.00,8.06,29.00,101.00
2025-01-01T01:09:00Z,2025-04-01T00:00:00Z,UA,1,95,-21.00,-7.64,-1.08,10.42,39.00,105.00
2025-01-01T01:13:00Z,2025-02-01T00:00:00Z,AA,1,19,-18.00,-8.00,-6.00,4.00,22.00,318.00
2025-01-01T01:13:00Z,2025-03-01T00:00:00Z,AA,1,22,-18.00,-7.00,-5.00,6.00,13.00,318.00
2025-01-01T01:13:00Z,2025-04-01T00:00:00Z,AA,1,26,-18.00,-7.00,-5.00,4.00,13.00,318.00
2025-01-01T01:20:00Z,2025-02-01T00:00:00Z,DL,1,64,-15.00,-9.00,-4.83,2.25,36.00,105.00
2025-01-01T01:20:00Z,2025-03-01T00:00:00Z,DL,1,120,-16.00,-8.94,-5.53,1.50,39.00,288.00
2025-01-01T01:20:00Z,2025-04-01T00:00:00Z,DL,1,179,-16.00,-9.14,-5.95,-0.29,27.52,288.00
2025-01-01T02:05:00Z,2025-02-01T00:00:00Z,UA,2,32,-14.00,-8.00,-6.00,3.00,19.00,92.00
2025-01-01T02:05:00Z,2025-03-01T00:00:00Z,UA,2,62,-14.00,-8.75,-6.33,2.50,23.00,92.00
2025-01-01T02:05:00Z,2025-04-01T00:00:00Z,UA,2,70,-14.00,-9.00,-6.78,2.50,38.00,92.00
2025-01-01T03:13:00Z,2025-02-01T00:00:00Z,DL,3,6,-7.00,-4.00,-3.00,-2.00,-1.00,-1.00
2025-01-01T03:13:00Z,2025-03-01T00:00:00Z,DL,3,6,-7.00,-4.00,-3.00,-2.00,-1.00,-1.00
2025-01-01T03:13:00Z,2025-04-01T00:00:00Z,DL,3,6,-7.00,-4.00,-3.00,-2.00,-1.00,-1.00
2025-01-01T05:00:00Z,2025-02-01T00:00:00Z,AA,5,2857,-19.00,-7.45,-4.51,-1.01,10.71,1684.00
2025-01-01T05:00:00Z,2025-03-01T00:00:00Z,AA,5,5418,-19.00,-7.52,-4.72,-1.20,10.28,3092.00
2025-01-01T05:00:00Z,2025-04-01T00:00:00Z,AA,5,8694,-21.00,-7.76,-4.99,-1.54,9.32,3092.00
2025-01-01T05:05:00Z,2025-02-01T00:00:00Z,WN,5,2084,-13.00,-5.00,-3.05,-0.39,4.89,426.00
2025-01-01T05:05:00Z,2025-03-01T00:00:00Z,WN,5,4954,-15.00,-5.11,-3.07,-0.29,5.40,426.00
2025-01-01T05:05:00Z,2025-04-01T00:00:00Z,WN,5,9802,-15.00,-5.13,-3.22,-0.60,4.50,426.00
