ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-04-27T00:00:00Z,AA,10,84,-14.00,-5.00,-2.13,3.33,37.00,155.00
2025-04-27T00:00:00Z,AA,11,166,-11.00,-5.53,-2.48,5.20,31.55,385.00
2025-04-27T00:00:00Z,AA,12,150,-16.00,-4.67,-2.06,10.32,48.97,160.00
2025-04-27T00:00:00Z,AA,13,148,-11.00,-4.46,-1.83,12.18,50.77,161.00
2025-04-27T00:00:00Z,AA,14,150,-9.00,-4.73,-1.60,8.84,43.93,1831.00
2025-04-27T00:00:00Z,AA,15,144,-16.00,-3.89,-0.19,23.50,67.54,372.00
2025-04-27T00:00:00Z,AA,16,150,-15.00,-4.00,-1.06,14.75,48.13,132.00
2025-04-27T00:00:00Z,AA,17,162,-12.00,-3.54,-0.66,21.27,58.38,859.00
2025-04-27T00:00:00Z,AA,18,172,-16.00,-3.63,0.68,17.18,55.20,177.00
2025-04-27T00:00:00Z,AA,19,160,-11.00,-4.00,-0.12,23.53,70.73,161.00
2025-04-27T00:00:00Z,AA,20,136,-10.00,-3.86,0.02,17.67,45.90,190.00
2025-04-27T00:00:00Z,AA,21,88,-15.00,-4.50,0.44,22.33,50.00,158.00
2025-04-27T00:00:00Z,AA,22,114,-9.00,-4.00,-0.08,8.00,37.20,178.00
2025-04-27T00:00:00Z,AA,23,33,-10.00,-5.00,-2.00,8.00,28.00,78.00
2025-04-27T00:00:00Z,DL,10,70,-14.00,-7.00,-4.72,-1.60,5.00,188.00
2025-04-27T00:00:00Z,DL,11,214,-16.00,-6.95,-4.53,-0.09,9.76,114.00
2025-04-27T00:00:00Z,DL,12,186,-14.00,-7.00,-4.17,0.12,11.79,130.00
2025-04-27T00:00:00Z,DL,13,156,-13.00,-6.16,-2.94,2.00,16.73,172.00
2025-04-27T00:00:00Z,DL,14,153,-14.00,-5.65,-3.14,1.78,11.55,165.00
2025-04-27T00:00:00Z,DL,15,195,-18.00,-5.17,-1.89,5.15,29.53,135.00
2025-04-27T00:00:00Z,DL,16,144,-15.00,-4.96,-1.63,6.06,19.78,315.00
2025-04-27T00:00:00Z,DL,17,181,-19.00,-5.75,-1.60,9.33,35.89,244.00
2025-04-27T00:00:00Z,DL,18,178,-17.00,-5.00,-1.91,8.50,36.12,200.00
2025-04-27T00:00:00Z,DL,19,180,-18.00,-5.45,-0.92,12.34,35.05,327.00
2025-04-27T00:00:00Z,DL,20,124,-16.00,-5.11,-1.56,10.18,30.40,101.00
2025-04-27T00:00:00Z,DL,21,102,-11.00,-5.00,-0.75,14.72,47.70,147.00
2025-04-27T00:00:00Z,DL,22,118,-13.00,-5.56,-3.31,3.57,27.70,112.00
2025-04-27T00:00:00Z,DL,23,35,-10.00,-6.00,-2.00,20.00,36.00,61.00
2025-04-27T00:00:00Z,UA,10,77,-12.00,-6.00,-3.03,4.42,23.00,94.00
2025-04-27T00:00:00Z,UA,11,125,-13.00,-5.24,-3.06,1.53,27.75,276.00
2025-04-27T00:00:00Z,UA,12,118,-11.00,-5.44,-2.45,3.10,24.40,199.00
2025-04-27T00:00:00Z,UA,13,127,-14.00,-6.00,-3.51,0.77,14.08,304.00
2025-04-27T00:00:00Z,UA,14,125,-15.00,-5.45,-2.67,4.69,70.38,375.00
2025-04-27T00:00:00Z,UA,15,99,-12.00,-4.91,-1.84,11.09,59.00,392.00
2025-04-27T00:00:00Z,UA,16,139,-19.00,-5.00,-2.10,3.07,18.36,254.00
2025-04-27T00:00:00Z,UA,17,133,-13.00,-4.69,-1.18,6.27,40.88,297.00
