window_type,scope,airline,hour,metric,wm15_mean,wm100_mean,adaptive_mean,abs_diff_wm100_minus_wm15,pct_diff_wm100_vs_wm15,abs_diff_adaptive_minus_wm15,pct_diff_adaptive_vs_wm15,wm15_non_null_values,wm100_non_null_values,adaptive_non_null_values
1day,ALL,ALL,ALL,min,-13.385807,-13.385807,-13.385807,0.0,-0.0,0.0,-0.0,9681,9681,9681
1day,ALL,ALL,ALL,p25,-5.103981,-5.103981,-5.103981,0.0,-0.0,0.0,-0.0,9681,9681,9681
1day,ALL,ALL,ALL,p50,-0.18136,-0.18136,-0.18136,0.0,-0.0,0.0,-0.0,9681,9681,9681
1day,ALL,ALL,ALL,p75,11.096391,11.096391,11.096391,0.0,0.0,0.0,0.0,9681,9681,9681
1day,ALL,ALL,ALL,p90,36.474072,36.474072,36.474072,0.0,0.0,0.0,0.0,9681,9681,9681
1day,ALL,ALL,ALL,max,289.764177,289.764177,289.764177,0.0,0.0,0.0,0.0,9681,9681,9681
1day,airline,AA,ALL,min,-13.370462,-13.370462,-13.370462,0.0,-0.0,0.0,-0.0,2424,2424,2424
1day,airline,AA,ALL,p25,-5.156766,-5.156766,-5.156766,0.0,-0.0,0.0,-0.0,2424,2424,2424
1day,airline,AA,ALL,p50,-0.67802,-0.67802,-0.67802,0.0,-0.0,0.0,-0.0,2424,2424,2424
1day,airline,AA,ALL,p75,12.13915,12.13915,12.13915,0.0,0.0,0.0,0.0,2424,2424,2424
1day,airline,AA,ALL,p90,43.160169,43.160169,43.160169,0.0,0.0,0.0,0.0,2424,2424,2424
1day,airline,AA,ALL,max,460.294142,460.294142,460.294142,0.0,0.0,0.0,0.0,2424,2424,2424
1day,airline,DL,ALL,min,-15.660942,-15.660942,-15.660942,0.0,-0.0,0.0,-0.0,2504,2504,2504
1day,airline,DL,ALL,p25,-6.183822,-6.183822,-6.183822,0.0,-0.0,0.0,-0.0,2504,2504,2504
