timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,min_latency_ms,max_latency_ms,avg_latency_ms,watermark_strategy,parallelism
1782743342069,q1-1h-result-ADAPTIVE,0,1782743337001,1782743342069,5068,17,17,104,519,283.941,ADAPTIVE,2
1782743342069,q1-1h-result-ADAPTIVE,1,1782743337011,1782743342069,5058,13,13,110,289,232.615,ADAPTIVE,2
1782743342074,q2-1h-result-ADAPTIVE,1,1782743337046,1782743342074,5028,1,1,302,302,302.000,ADAPTIVE,2
1782743342260,q2-6h-result-ADAPTIVE,0,1782743336939,1782743342260,5321,1,1,114,114,114.000,ADAPTIVE,2
1782743342369,q2-1h-result-ADAPTIVE,0,1782743336954,1782743342369,5415,14,14,232,307,283.714,ADAPTIVE,2
1782743344685,q3-1day-result-ADAPTIVE,0,1782743337012,1782743344685,7673,1,1,4737,4737,4737.000,ADAPTIVE,2
1782743344685,q3-1day-result-ADAPTIVE,1,1782743337002,1782743344685,7683,1,1,4507,4507,4507.000,ADAPTIVE,2
1782743344686,q3-7day-result-ADAPTIVE,0,1782743337007,1782743344686,7679,1,1,4738,4738,4738.000,ADAPTIVE,2
1782743344686,q3-7day-result-ADAPTIVE,1,1782743337009,1782743344686,7677,1,1,4508,4508,4508.000,ADAPTIVE,2
1782743344760,q2-6h-result-ADAPTIVE,1,1782743336931,1782743344760,7829,1,1,385,385,385.000,ADAPTIVE,2
1782743347087,q1-1h-result-ADAPTIVE,0,1782743342069,1782743347087,5018,48,65,106,502,228.833,ADAPTIVE,2
1782743347087,q1-1h-result-ADAPTIVE,1,1782743342069,1782743347087,5018,42,55,96,315,210.024,ADAPTIVE,2
1782743347373,q2-1h-result-ADAPTIVE,0,1782743342369,1782743347373,5004,66,80,129,393,291.394,ADAPTIVE,2
1782743347573,q2-1h-result-ADAPTIVE,1,1782743342074,1782743347573,5499,76,77,199,371,291.487,ADAPTIVE,2
1782743347962,q2-6h-result-ADAPTIVE,0,1782743342260,1782743347962,5702,30,31,119,357,273.233,ADAPTIVE,2
1782743352092,q1-1h-result-ADAPTIVE,0,1782743347087,1782743352092,5005,50,115,85,439,195.000,ADAPTIVE,2
1782743352092,q1-1h-result-ADAPTIVE,1,1782743347087,1782743352092,5005,45,100,80,325,176.267,ADAPTIVE,2
1782743352377,q2-1h-result-ADAPTIVE,0,1782743347373,1782743352377,5004,86,166,184,383,270.767,ADAPTIVE,2
1782743352577,q2-1h-result-ADAPTIVE,1,1782743347573,1782743352577,5004,61,138,199,339,264.836,ADAPTIVE,2
1782743353498,q3-1day-result-ADAPTIVE,0,1782743344685,1782743353498,8813,73,74,237,4711,2103.219,ADAPTIVE,2
