timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,min_latency_ms,max_latency_ms,avg_latency_ms,watermark_strategy,parallelism
1782828428705,q1-1h-result-WM100,0,1782828422644,1782828428705,6061,1,1,633,633,633.000,WM100,2
1782828428706,q1-1h-result-WM100,1,1782828422603,1782828428706,6103,1,1,260,260,260.000,WM100,2
1782828429994,q2-1h-result-WM100,0,1782828422618,1782828429994,7376,1,1,644,644,644.000,WM100,2
1782828430612,q2-1h-result-WM100,1,1782828422593,1782828430612,8019,1,1,582,582,582.000,WM100,2
1782828430997,q2-6h-result-WM100,0,1782828422580,1782828430997,8417,1,1,557,557,557.000,WM100,2
1782828433342,q3-1day-result-WM100,0,1782828422599,1782828433342,10743,1,1,4902,4902,4902.000,WM100,2
1782828433342,q3-1day-result-WM100,1,1782828422596,1782828433342,10746,1,1,4896,4896,4896.000,WM100,2
1782828433342,q3-7day-result-WM100,0,1782828422533,1782828433342,10809,1,1,4902,4902,4902.000,WM100,2
1782828433342,q3-7day-result-WM100,1,1782828422494,1782828433342,10848,1,1,4896,4896,4896.000,WM100,2
1782828433397,q2-6h-result-WM100,1,1782828422582,1782828433397,10815,1,1,662,662,662.000,WM100,2
1782828433743,q1-1h-result-WM100,0,1782828428705,1782828433743,5038,46,47,261,715,528.196,WM100,2
1782828433743,q1-1h-result-WM100,1,1782828428706,1782828433743,5037,39,40,404,706,522.667,WM100,2
1782828435410,q2-1h-result-WM100,0,1782828429994,1782828435410,5416,56,57,487,700,594.804,WM100,2
1782828436210,q2-1h-result-WM100,1,1782828430612,1782828436210,5598,76,77,438,657,585.382,WM100,2
1782828436599,q2-6h-result-WM100,0,1782828430997,1782828436599,5602,30,31,465,646,593.933,WM100,2
1782828439005,q1-1h-result-WM100,0,1782828433743,1782828439005,5262,48,95,376,804,505.563,WM100,2
1782828439005,q1-1h-result-WM100,1,1782828433743,1782828439005,5262,40,80,354,577,470.025,WM100,2
1782828440413,q2-1h-result-WM100,0,1782828435410,1782828440413,5003,93,150,424,637,535.065,WM100,2
1782828441488,q2-1h-result-WM100,1,1782828436210,1782828441488,5278,61,138,438,664,487.508,WM100,2
1782828442352,q3-1day-result-WM100,0,1782828433342,1782828442352,9010,73,74,469,5280,2414.959,WM100,2
1782828442352,q3-1day-result-WM100,1,1782828433342,1782828442352,9010,92,93,470,4914,2637.446,WM100,2
1782828442403,q2-6h-result-WM100,0,1782828436599,1782828442403,5804,30,61,453,658,537.133,WM100,2
1782828444009,q1-1h-result-WM100,0,1782828439005,1782828444009,5004,50,145,396,772,505.180,WM100,2
1782828444009,q1-1h-result-WM100,1,1782828439005,1782828444009,5004,45,125,363,668,486.733,WM100,2
1782828445492,q2-1h-result-WM100,0,1782828440413,1782828445492,5079,101,251,457,691,583.723,WM100,2
1782828446492,q2-1h-result-WM100,1,1782828441488,1782828446492,5004,44,182,513,687,566.182,WM100,2
1782828449058,q1-1h-result-WM100,0,1782828444009,1782828449058,5049,50,195,349,746,479.880,WM100,2
1782828449058,q1-1h-result-WM100,1,1782828444009,1782828449058,5049,45,170,320,642,461.356,WM100,2
1782828449106,q2-6h-result-WM100,0,1782828442403,1782828449106,6703,40,101,527,985,673.575,WM100,2
1782828450208,q2-6h-result-WM100,1,1782828433397,1782828450208,16811,20,21,523,974,704.700,WM100,2
1782828451259,q3-1day-result-WM100,0,1782828442352,1782828451259,8907,74,148,546,4875,2374.108,WM100,2
1782828451259,q3-1day-result-WM100,1,1782828442352,1782828451259,8907,92,185,546,4880,2611.880,WM100,2
1782828452723,q2-1h-result-WM100,1,1782828446492,1782828452723,6231,56,238,415,662,540.411,WM100,2
1782828453324,q2-1h-result-WM100,0,1782828445492,1782828453324,7832,89,340,401,652,550.798,WM100,2
1782828454062,q1-1h-result-WM100,0,1782828449058,1782828454062,5004,50,245,375,657,496.660,WM100,2
1782828454062,q1-1h-result-WM100,1,1782828449058,1782828454062,5004,45,215,366,588,484.089,WM100,2
1782828455913,q2-6h-result-WM100,1,1782828450208,1782828455913,5705,30,51,510,873,579.733,WM100,2
1782828457729,q2-1h-result-WM100,1,1782828452723,1782828457729,5006,71,309,488,687,587.634,WM100,2
1782828458115,q2-6h-result-WM100,0,1782828449106,1782828458115,9009,20,121,449,588,521.300,WM100,2
1782828458529,q2-1h-result-WM100,0,1782828453324,1782828458529,5205,71,411,451,624,534.620,WM100,2
1782828459070,q1-1h-result-WM100,0,1782828454062,1782828459070,5008,49,294,352,771,496.469,WM100,2
1782828459070,q1-1h-result-WM100,1,1782828454062,1782828459070,5008,43,258,312,598,472.605,WM100,2
1782828460270,q3-1day-result-WM100,0,1782828451259,1782828460270,9011,73,221,460,4890,2350.452,WM100,2
1782828460270,q3-1day-result-WM100,1,1782828451259,1782828460270,9011,92,277,461,4890,2566.500,WM100,2
1782828463433,q2-1h-result-WM100,1,1782828457729,1782828463433,5704,42,351,419,643,517.048,WM100,2
1782828463819,q2-6h-result-WM100,0,1782828458115,1782828463819,5704,30,151,431,697,496.167,WM100,2
1782828463833,q2-1h-result-WM100,0,1782828458529,1782828463833,5304,74,485,416,660,530.689,WM100,2
1782828464074,q1-1h-result-WM100,0,1782828459070,1782828464074,5004,47,341,394,837,504.447,WM100,2
1782828464074,q1-1h-result-WM100,1,1782828459070,1782828464074,5004,41,299,385,753,480.146,WM100,2
1782828464865,q3-7day-result-WM100,0,1782828433342,1782828464865,31523,36,37,602,5281,2527.861,WM100,2
1782828464865,q3-7day-result-WM100,1,1782828433342,1782828464865,31523,46,47,602,4914,2734.804,WM100,2
1782828467221,q2-6h-result-WM100,1,1782828455913,1782828467221,11308,20,71,507,1103,780.200,WM100,2
1782828468637,q2-1h-result-WM100,1,1782828463433,1782828468637,5204,66,417,475,707,598.106,WM100,2
1782828469037,q2-1h-result-WM100,0,1782828463833,1782828469037,5204,54,539,491,707,612.722,WM100,2
1782828469134,q1-1h-result-WM100,0,1782828464074,1782828469134,5060,49,390,383,869,512.184,WM100,2
1782828469134,q1-1h-result-WM100,1,1782828464074,1782828469134,5060,43,342,378,852,491.163,WM100,2
1782828469364,q3-1day-result-WM100,0,1782828460270,1782828469364,9094,72,293,462,4902,2381.347,WM100,2
