timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,instant_throughput_events_per_second,average_throughput_events_per_second,watermark_strategy,parallelism
1782468886167,watermark-ADAPTIVE,0,1782468881158,1782468886167,5009,16456,16456,3285.286,3285.286,ADAPTIVE,4
1782468886196,watermark-ADAPTIVE,1,1782468881183,1782468886196,5013,20024,20024,3994.415,3994.415,ADAPTIVE,4
1782468886197,watermark-ADAPTIVE,2,1782468881159,1782468886197,5038,16442,16442,3263.597,3263.597,ADAPTIVE,4
1782468886356,watermark-ADAPTIVE,3,1782468881205,1782468886356,5151,21054,21054,4087.362,4087.362,ADAPTIVE,4
1782468891200,watermark-ADAPTIVE,2,1782468886197,1782468891200,5003,5121,21563,1023.586,2147.495,ADAPTIVE,4
1782468891240,watermark-ADAPTIVE,1,1782468886196,1782468891240,5044,5697,25721,1129.461,2557.522,ADAPTIVE,4
1782468891275,watermark-ADAPTIVE,0,1782468886167,1782468891275,5108,5194,21650,1016.836,2139.962,ADAPTIVE,4
1782468891378,watermark-ADAPTIVE,3,1782468886356,1782468891378,5022,5303,26357,1055.954,2590.878,ADAPTIVE,4
1782468896200,watermark-ADAPTIVE,2,1782468891200,1782468896200,5000,6223,27786,1244.600,1847.351,ADAPTIVE,4
1782468896300,watermark-ADAPTIVE,1,1782468891240,1782468896300,5060,4932,30653,974.704,2027.717,ADAPTIVE,4
1782468896315,watermark-ADAPTIVE,0,1782468891275,1782468896315,5040,6005,27655,1191.468,1824.570,ADAPTIVE,4
1782468896381,watermark-ADAPTIVE,3,1782468891378,1782468896381,5003,5787,32144,1156.706,2118.081,ADAPTIVE,4
1782468901200,watermark-ADAPTIVE,2,1782468896200,1782468901200,5000,5383,33169,1076.600,1655.057,ADAPTIVE,4
1782468901302,watermark-ADAPTIVE,1,1782468896300,1782468901302,5002,6172,36825,1233.906,1830.359,ADAPTIVE,4
1782468901336,watermark-ADAPTIVE,0,1782468896315,1782468901336,5021,5455,33110,1086.437,1640.896,ADAPTIVE,4
1782468901742,watermark-ADAPTIVE,3,1782468896381,1782468901742,5361,5286,37430,986.010,1822.564,ADAPTIVE,4
1782468906200,watermark-ADAPTIVE,2,1782468901200,1782468906200,5000,5827,38996,1165.400,1557.286,ADAPTIVE,4
1782468906318,watermark-ADAPTIVE,1,1782468901302,1782468906318,5016,4740,41565,944.976,1653.670,ADAPTIVE,4
1782468906395,watermark-ADAPTIVE,0,1782468901336,1782468906395,5059,6384,39494,1261.909,1564.925,ADAPTIVE,4
1782468906763,watermark-ADAPTIVE,3,1782468901742,1782468906763,5021,6072,43502,1209.321,1702.089,ADAPTIVE,4
1782468911318,watermark-ADAPTIVE,1,1782468906318,1782468911318,5000,5779,47344,1155.800,1571.064,ADAPTIVE,4
1782468911400,watermark-ADAPTIVE,0,1782468906395,1782468911400,5005,4881,44375,975.225,1467.330,ADAPTIVE,4
1782468912314,watermark-ADAPTIVE,2,1782468906200,1782468912314,6114,5445,44441,890.579,1426.448,ADAPTIVE,4
1782468912421,watermark-ADAPTIVE,3,1782468906763,1782468912421,5658,4458,47960,787.911,1536.392,ADAPTIVE,4
1782468916792,watermark-ADAPTIVE,1,1782468911318,1782468916792,5474,3588,50932,655.462,1430.313,ADAPTIVE,4
1782468916918,watermark-ADAPTIVE,0,1782468911400,1782468916918,5518,3991,48366,723.269,1352.517,ADAPTIVE,4
1782468917380,watermark-ADAPTIVE,2,1782468912314,1782468917380,5066,5188,49629,1024.082,1370.172,ADAPTIVE,4
1782468917442,watermark-ADAPTIVE,3,1782468912421,1782468917442,5021,4927,52887,981.279,1459.475,ADAPTIVE,4
1782468921834,watermark-ADAPTIVE,1,1782468916792,1782468921834,5042,4698,55630,931.773,1368.478,ADAPTIVE,4
1782468921982,watermark-ADAPTIVE,0,1782468916918,1782468921982,5064,5685,54051,1122.630,1324.001,ADAPTIVE,4
1782468922436,watermark-ADAPTIVE,2,1782468917380,1782468922436,5056,5536,55165,1094.937,1336.459,ADAPTIVE,4
1782468922461,watermark-ADAPTIVE,3,1782468917442,1782468922461,5019,4837,57724,963.738,1399.166,ADAPTIVE,4
1782468926879,watermark-ADAPTIVE,1,1782468921834,1782468926879,5045,5180,60810,1026.759,1330.751,ADAPTIVE,4
1782468927002,watermark-ADAPTIVE,0,1782468921982,1782468927002,5020,5881,59932,1171.514,1307.303,ADAPTIVE,4
1782468927450,watermark-ADAPTIVE,2,1782468922436,1782468927450,5014,5132,60297,1023.534,1302.564,ADAPTIVE,4
1782468927480,watermark-ADAPTIVE,3,1782468922461,1782468927480,5019,5530,63254,1101.813,1366.915,ADAPTIVE,4
1782468931982,watermark-ADAPTIVE,1,1782468926879,1782468931982,5103,4643,65453,909.857,1288.470,ADAPTIVE,4
1782468932016,watermark-ADAPTIVE,0,1782468927002,1782468932016,5014,5456,65388,1088.153,1285.697,ADAPTIVE,4
1782468932481,watermark-ADAPTIVE,2,1782468927450,1782468932481,5031,4379,64676,870.403,1260.200,ADAPTIVE,4
1782468932524,watermark-ADAPTIVE,3,1782468927480,1782468932524,5044,5285,68539,1047.780,1335.548,ADAPTIVE,4
1782468937024,watermark-ADAPTIVE,0,1782468932016,1782468937024,5008,4408,69796,880.192,1249.347,ADAPTIVE,4
1782468937086,watermark-ADAPTIVE,1,1782468931982,1782468937086,5104,5932,71385,1162.226,1276.944,ADAPTIVE,4
1782468937482,watermark-ADAPTIVE,2,1782468932481,1782468937482,5001,4968,69644,993.401,1236.511,ADAPTIVE,4
1782468937666,watermark-ADAPTIVE,3,1782468932524,1782468937666,5142,5023,73562,976.857,1302.882,ADAPTIVE,4
1782468942050,watermark-ADAPTIVE,0,1782468937024,1782468942050,5026,4591,74387,913.450,1221.622,ADAPTIVE,4
1782468943183,watermark-ADAPTIVE,3,1782468937666,1782468943183,5517,4477,78039,811.492,1259.140,ADAPTIVE,4
1782468943235,watermark-ADAPTIVE,2,1782468937482,1782468943235,5753,4955,74599,861.290,1201.737,ADAPTIVE,4
1782468943339,watermark-ADAPTIVE,1,1782468937086,1782468943339,6253,4940,76325,790.021,1227.959,ADAPTIVE,4
1782468947062,watermark-ADAPTIVE,0,1782468942050,1782468947062,5012,4575,78962,912.809,1198.137,ADAPTIVE,4
1782468948235,watermark-ADAPTIVE,2,1782468943235,1782468948235,5000,4563,79162,912.600,1180.184,ADAPTIVE,4
1782468948249,watermark-ADAPTIVE,3,1782468943183,1782468948249,5066,4437,82476,875.839,1230.177,ADAPTIVE,4
1782468948373,watermark-ADAPTIVE,1,1782468943339,1782468948373,5034,4697,81022,933.055,1205.864,ADAPTIVE,4
1782468952063,watermark-ADAPTIVE,0,1782468947062,1782468952063,5001,4657,83619,931.214,1179.310,ADAPTIVE,4
1782468953251,watermark-ADAPTIVE,3,1782468948249,1782468953251,5002,5266,87742,1052.779,1217.861,ADAPTIVE,4
1782468953291,watermark-ADAPTIVE,2,1782468948235,1782468953291,5056,5426,84588,1073.180,1172.683,ADAPTIVE,4
1782468953385,watermark-ADAPTIVE,1,1782468948373,1782468953385,5012,4974,85996,992.418,1191.047,ADAPTIVE,4
1782468957136,watermark-ADAPTIVE,0,1782468952063,1782468957136,5073,4629,88248,912.478,1161.494,ADAPTIVE,4
1782468958312,watermark-ADAPTIVE,3,1782468953251,1782468958312,5061,6215,93957,1228.018,1218.528,ADAPTIVE,4
1782468958386,watermark-ADAPTIVE,1,1782468953385,1782468958386,5001,5754,91750,1150.570,1188.425,ADAPTIVE,4
1782468958405,watermark-ADAPTIVE,2,1782468953291,1782468958405,5114,5395,89983,1054.947,1164.889,ADAPTIVE,4
1782468962138,watermark-ADAPTIVE,0,1782468957136,1782468962138,5002,4508,92756,901.240,1145.419,ADAPTIVE,4
1782468963346,watermark-ADAPTIVE,3,1782468958312,1782468963346,5034,5223,99180,1037.545,1207.436,ADAPTIVE,4
1782468963386,watermark-ADAPTIVE,1,1782468958386,1782468963386,5000,4144,95894,828.800,1166.551,ADAPTIVE,4
1782468963442,watermark-ADAPTIVE,2,1782468958405,1782468963442,5037,5378,95361,1067.699,1158.939,ADAPTIVE,4
1782468967225,watermark-ADAPTIVE,0,1782468962138,1782468967225,5087,4695,97451,922.941,1132.269,ADAPTIVE,4
1782468968352,watermark-ADAPTIVE,3,1782468963346,1782468968352,5006,4725,103905,943.867,1192.296,ADAPTIVE,4
1782468968392,watermark-ADAPTIVE,1,1782468963386,1782468968392,5006,4872,100766,973.232,1155.454,ADAPTIVE,4
1782468968444,watermark-ADAPTIVE,2,1782468963442,1782468968444,5002,4243,99604,848.261,1141.135,ADAPTIVE,4
1782468972225,watermark-ADAPTIVE,0,1782468967225,1782468972225,5000,6128,103579,1225.600,1137.393,ADAPTIVE,4
1782468974084,watermark-ADAPTIVE,3,1782468968352,1782468974084,5732,4534,108439,790.998,1167.530,ADAPTIVE,4
1782468974170,watermark-ADAPTIVE,2,1782468968444,1782468974170,5726,4488,104092,783.793,1119.136,ADAPTIVE,4
1782468974244,watermark-ADAPTIVE,1,1782468968392,1782468974244,5852,4423,105189,755.810,1130.323,ADAPTIVE,4
1782468978513,watermark-ADAPTIVE,0,1782468972225,1782468978513,6288,5288,108867,840.967,1118.248,ADAPTIVE,4
1782468979098,watermark-ADAPTIVE,3,1782468974084,1782468979098,5014,4643,113082,926.007,1155.159,ADAPTIVE,4
1782468979175,watermark-ADAPTIVE,2,1782468974170,1782468979175,5005,4688,108780,936.663,1109.819,ADAPTIVE,4
1782468979375,watermark-ADAPTIVE,1,1782468974244,1782468979375,5131,4976,110165,969.791,1121.935,ADAPTIVE,4
1782468983601,watermark-ADAPTIVE,0,1782468978513,1782468983601,5088,5585,114452,1097.681,1117.226,ADAPTIVE,4
1782468984114,watermark-ADAPTIVE,3,1782468979098,1782468984114,5016,4464,117546,889.952,1142.232,ADAPTIVE,4
1782468984259,watermark-ADAPTIVE,2,1782468979175,1782468984259,5084,4694,113474,923.289,1100.621,ADAPTIVE,4
1782468984401,watermark-ADAPTIVE,1,1782468979375,1782468984401,5026,6091,116256,1211.898,1126.315,ADAPTIVE,4
1782468988657,watermark-ADAPTIVE,0,1782468983601,1782468988657,5056,5216,119668,1031.646,1113.201,ADAPTIVE,4
1782468989151,watermark-ADAPTIVE,3,1782468984114,1782468989151,5037,4758,122304,944.610,1133.011,ADAPTIVE,4
1782468989259,watermark-ADAPTIVE,2,1782468984259,1782468989259,5000,6745,120219,1349.000,1112.109,ADAPTIVE,4
1782468989431,watermark-ADAPTIVE,1,1782468984401,1782468989431,5030,5552,121808,1103.777,1125.268,ADAPTIVE,4
1782468993659,watermark-ADAPTIVE,0,1782468988657,1782468993659,5002,4808,124476,961.216,1106.443,ADAPTIVE,4
1782468994186,watermark-ADAPTIVE,3,1782468989151,1782468994186,5035,4912,127216,975.571,1125.995,ADAPTIVE,4
1782468994302,watermark-ADAPTIVE,2,1782468989259,1782468994302,5043,5520,125739,1094.587,1111.328,ADAPTIVE,4
1782468994431,watermark-ADAPTIVE,1,1782468989431,1782468994431,5000,3827,125635,765.400,1109.379,ADAPTIVE,4
1782468998661,watermark-ADAPTIVE,0,1782468993659,1782468998661,5002,5187,129663,1036.985,1103.487,ADAPTIVE,4
1782468999186,watermark-ADAPTIVE,3,1782468994186,1782468999186,5000,5071,132287,1014.200,1121.257,ADAPTIVE,4
1782468999302,watermark-ADAPTIVE,2,1782468994302,1782468999302,5000,5139,130878,1027.800,1107.793,ADAPTIVE,4
1782469000641,watermark-ADAPTIVE,1,1782468994431,1782469000641,6210,5177,130812,833.655,1095.046,ADAPTIVE,4
1782469003675,watermark-ADAPTIVE,0,1782468998661,1782469003675,5014,5199,134862,1036.897,1100.762,ADAPTIVE,4
1782469004191,watermark-ADAPTIVE,3,1782468999186,1782469004191,5005,4491,136778,897.303,1112.143,ADAPTIVE,4
1782469004958,watermark-ADAPTIVE,2,1782468999302,1782469004958,5656,4658,135536,823.550,1094.807,ADAPTIVE,4
1782469005666,watermark-ADAPTIVE,1,1782469000641,1782469005666,5025,5594,136406,1113.234,1095.780,ADAPTIVE,4
1782469009365,watermark-ADAPTIVE,3,1782469004191,1782469009365,5174,4167,140945,805.373,1099.758,ADAPTIVE,4
1782469009444,watermark-ADAPTIVE,0,1782469003675,1782469009444,5769,4279,139141,741.723,1084.616,ADAPTIVE,4
1782469009965,watermark-ADAPTIVE,2,1782469004958,1782469009965,5007,4221,139757,843.020,1085.019,ADAPTIVE,4
1782469010667,watermark-ADAPTIVE,1,1782469005666,1782469010667,5001,4998,141404,999.400,1092.058,ADAPTIVE,4
1782469014389,watermark-ADAPTIVE,3,1782469009365,1782469014389,5024,4379,145324,871.616,1091.152,ADAPTIVE,4
1782469014565,watermark-ADAPTIVE,0,1782469009444,1782469014565,5121,5592,144733,1091.974,1084.898,ADAPTIVE,4
1782469014978,watermark-ADAPTIVE,2,1782469009965,1782469014978,5013,4799,144556,957.311,1080.235,ADAPTIVE,4
1782469015855,watermark-ADAPTIVE,1,1782469010667,1782469015855,5188,5510,146914,1062.066,1090.902,ADAPTIVE,4
1782469019438,watermark-ADAPTIVE,3,1782469014389,1782469019438,5049,6205,151529,1228.956,1096.185,ADAPTIVE,4
1782469019617,watermark-ADAPTIVE,0,1782469014565,1782469019617,5052,5965,150698,1180.721,1088.394,ADAPTIVE,4
1782469019994,watermark-ADAPTIVE,2,1782469014978,1782469019994,5016,4957,149513,988.238,1076.911,ADAPTIVE,4
1782469020938,watermark-ADAPTIVE,1,1782469015855,1782469020938,5083,4438,151352,873.106,1082.981,ADAPTIVE,4
1782469024481,watermark-ADAPTIVE,3,1782469019438,1782469024481,5043,5376,156905,1066.032,1095.124,ADAPTIVE,4
1782469024659,watermark-ADAPTIVE,0,1782469019617,1782469024659,5042,5680,156378,1126.537,1089.735,ADAPTIVE,4
1782469024995,watermark-ADAPTIVE,2,1782469019994,1782469024995,5001,4720,154233,943.811,1072.284,ADAPTIVE,4
1782469025982,watermark-ADAPTIVE,1,1782469020938,1782469025982,5044,3573,154925,708.366,1069.931,ADAPTIVE,4
1782469029514,watermark-ADAPTIVE,3,1782469024481,1782469029514,5033,5581,162486,1108.881,1095.591,ADAPTIVE,4
1782469029696,watermark-ADAPTIVE,0,1782469024659,1782469029696,5037,4584,160962,910.066,1083.642,ADAPTIVE,4
1782469030115,watermark-ADAPTIVE,2,1782469024995,1782469030115,5120,5335,159568,1041.992,1071.243,ADAPTIVE,4
1782469031500,watermark-ADAPTIVE,1,1782469025982,1782469031500,5518,4953,159878,897.608,1063.606,ADAPTIVE,4
1782469034517,watermark-ADAPTIVE,3,1782469029514,1782469034517,5003,5830,168316,1165.301,1097.866,ADAPTIVE,4
1782469034700,watermark-ADAPTIVE,0,1782469029696,1782469034700,5004,5550,166512,1109.113,1084.472,ADAPTIVE,4
1782469035124,watermark-ADAPTIVE,2,1782469030115,1782469035124,5009,3516,163084,701.937,1059.228,ADAPTIVE,4
1782469036603,watermark-ADAPTIVE,1,1782469031500,1782469036603,5103,5765,165643,1129.728,1065.777,ADAPTIVE,4
1782469040250,watermark-ADAPTIVE,2,1782469035124,1782469040250,5126,4225,167309,824.229,1051.656,ADAPTIVE,4
1782469040357,watermark-ADAPTIVE,3,1782469034517,1782469040357,5840,4432,172748,758.904,1085.428,ADAPTIVE,4
1782469040413,watermark-ADAPTIVE,0,1782469034700,1782469040413,5713,3448,169960,603.536,1067.219,ADAPTIVE,4
