timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,instant_throughput_events_per_second,average_throughput_events_per_second,watermark_strategy,parallelism
1782468886167,watermark-WM30,0,1782468881157,1782468886167,5010,16456,16456,3284.631,3284.631,WM30,4
1782468886195,watermark-WM30,1,1782468881182,1782468886195,5013,20024,20024,3994.415,3994.415,WM30,4
1782468886197,watermark-WM30,2,1782468881140,1782468886197,5057,16442,16442,3251.335,3251.335,WM30,4
1782468886356,watermark-WM30,3,1782468881203,1782468886356,5153,21054,21054,4085.775,4085.775,WM30,4
1782468891200,watermark-WM30,2,1782468886197,1782468891200,5003,5121,21563,1023.586,2143.439,WM30,4
1782468891240,watermark-WM30,1,1782468886195,1782468891240,5045,5697,25721,1129.237,2557.268,WM30,4
1782468891275,watermark-WM30,0,1782468886167,1782468891275,5108,5194,21650,1016.836,2139.751,WM30,4
1782468891378,watermark-WM30,3,1782468886356,1782468891378,5022,5303,26357,1055.954,2590.369,WM30,4
1782468896200,watermark-WM30,2,1782468891200,1782468896200,5000,6223,27786,1244.600,1845.020,WM30,4
1782468896300,watermark-WM30,1,1782468891240,1782468896300,5060,4932,30653,974.704,2027.583,WM30,4
1782468896315,watermark-WM30,0,1782468891275,1782468896315,5040,6005,27655,1191.468,1824.449,WM30,4
1782468896381,watermark-WM30,3,1782468891378,1782468896381,5003,5787,32144,1156.706,2117.802,WM30,4
1782468901200,watermark-WM30,2,1782468896200,1782468901200,5000,5383,33169,1076.600,1653.490,WM30,4
1782468901302,watermark-WM30,1,1782468896300,1782468901302,5002,6172,36825,1233.906,1830.268,WM30,4
1782468901336,watermark-WM30,0,1782468896315,1782468901336,5021,5455,33110,1086.437,1640.815,WM30,4
1782468901742,watermark-WM30,3,1782468896381,1782468901742,5361,5286,37430,986.010,1822.387,WM30,4
1782468906200,watermark-WM30,2,1782468901200,1782468906200,5000,5827,38996,1165.400,1556.105,WM30,4
1782468906318,watermark-WM30,1,1782468901302,1782468906318,5016,4740,41565,944.976,1653.604,WM30,4
1782468906395,watermark-WM30,0,1782468901336,1782468906395,5059,6384,39494,1261.909,1564.863,WM30,4
1782468906763,watermark-WM30,3,1782468901742,1782468906763,5021,6072,43502,1209.321,1701.956,WM30,4
1782468911318,watermark-WM30,1,1782468906318,1782468911318,5000,5779,47344,1155.800,1571.011,WM30,4
1782468911400,watermark-WM30,0,1782468906395,1782468911400,5005,4881,44375,975.225,1467.282,WM30,4
1782468912314,watermark-WM30,2,1782468906200,1782468912314,6114,5445,44441,890.579,1425.579,WM30,4
1782468912421,watermark-WM30,3,1782468906763,1782468912421,5658,4458,47960,787.911,1536.293,WM30,4
1782468916792,watermark-WM30,1,1782468911318,1782468916792,5474,3588,50932,655.462,1430.272,WM30,4
1782468916918,watermark-WM30,0,1782468911400,1782468916918,5518,3991,48366,723.269,1352.479,WM30,4
1782468917380,watermark-WM30,2,1782468912314,1782468917380,5066,5188,49629,1024.082,1369.454,WM30,4
1782468917442,watermark-WM30,3,1782468912421,1782468917442,5021,4927,52887,981.279,1459.395,WM30,4
1782468921834,watermark-WM30,1,1782468916792,1782468921834,5042,4698,55630,931.773,1368.444,WM30,4
